Proposal,Decision,Ward,View
Diddymu cytundeb adran 106 sy'n rhwymo'r eiddo fel person lleol yn unig ar ganiatad rhif C05D/0144/34/LL/ Discharge section 106 agreement that ties the property as accomodation for local person only. on application ref C05D/0144/34/LL,,Clynnog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32438
Codi modurdy 3 drws ar wahân ynghyd a gwaith cysylltiol/ Proposed Detached 3 Door Garage including associated works,,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32436
Gosod gwaith trin carthion preifat/Installation of private sewerage treatement plant. ,,Waunfawr,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32440
Cais ar gyfer codi estyniad tŷ gwydr i flaen yr eiddo ynghyd a chodi modurdy / Application for a conservatory extension to front of dwelling and erection of garage,,Garth (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32432
"Adeiladu trac amaethyddol
Construction of agricultural track.",,Llanllyfni,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32429
Cais ar gyfer codi estyniad tri llawr i gefn yr eiddo ynghyd a chodi balconi / Application to erect a three storey rear extension and creation of balcony,,Menai (Bangor),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32426
"Dymchwel modurdy cysylltiol a porth / lolfa wydr blaen, adeiladu estyniadau i'r ochr a'r cefn, ymestyn a codi teras blaen presennol fel rhan o welliannau hygyrchedd
Demolition of attached garage and front porch/conservatory, erection of side and rear extensions, enlargement and raising of existing front terrace all as part of accessibility improvements",,Criccieth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32430
"Codi estyniad ochr deulawr, estyniad unllawr yng nghefn yr estyniad ochr, estyniad cefn tri llawr gyda balconi ar y 3ydd llawr a balconi llawr cyntaf.

Erection of a two storey side extension, single storey extension to the rear of the side extension, three storey rear extension with a balcony on the 3rd storey and first floor balcony.",,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32423
"Rhyddhau amod 4 (nodweddion nythu adar a manylion tirlunio a phlannu coed) ac amod 6 (defnyddiau) ar ganiatad cynllunio C17/0174/01/LL
Discharge of condition 4 (bird nesting features and landscaping and tree planting details and condition 6  (materials) on planning permission C17/0174/01/LL",,Llangelynnin,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32425
Addasiadau mewnol ac allanol i'r adeilad / Internal and external alterations to building,,Pentir,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32418
"NEWIDIADAU AC ESTYNIADAU I DO'R TY.
ALTERATIONS AND ROOF EXTENSIONS TO THE DWELLING",,Clynnog,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32431
"Cais i ryddhau Amod 3 (Cofnod Ffotograffig) o ganiatâd cynllunio C21/0715/39/DT ar gyfer ymgorffori adeilad capel segur yn rhan o'r  tŷ cyswllt.

Application to discharge Condition 3 (Photographic Record) of planning permission C21/0715/39/DT for the incorporation of redundant chapel building as part of adjoining house.",,Llanengan,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32419
Uwchraddio maes parcio presennol yn cynnwys creu lôn fynediad newydd un ffordd o gwmpas yr ardal maes parcio presennol ynghyd â chreu llwybr newydd i bedestriad/Upgrade to current car park facility to include a new one way access road around the perimeter of the car park along with a new footpath for pedestrians.  ,,Groeslon,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32417
Cais i drosi atig a chreu estyniad i dormer at gefn yr eiddo er mwy creu dau ystafell wely ac ystafell ymolchi/Attic conversion & dormer extension to rear of dwelling to provide 2 bedrooms and a bathroom.,,Cadnant (Caernarfon),https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32415
Cais i ddiwygio amod 3 ar gais C21/0356/23/DT sy'n ymwneud a newid dyluniad sydd at flaen y ty o estyniad deulawr i estyniad unllawr/ Application to vary condition 3 on application C21/0356/23/DT relating to altering from a two storey front extension to a single storey front extension. ,,Llanrug,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32416
"Adeiladu 23 annedd, creu mynedfa newydd o Ffordd Caernarfon, ffordd ystad mewnol, pwll gwanhad dwr wyneb a gwaith cysylltiol
Erection of 23 dwellings, creation of a new access from Caernarfon Road, an internal estate road, surface water attenuation pond and associated works",,Criccieth,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32413
"Estyniad deulawr.
Two storey extension.",,Cwm y Glo,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32412
"Estyniad unllawr cefn
Single storey rear extension",,Llanrug,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32411
"Estyniad ochr a cefn i dy annedd/Side and rear extension, ",,Llanwnda,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32410
"Mynedfa amaethyddol newydd
New agricultural access",,Llanystumdwy,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32420
"Codi uchder to ac adeiladu ffenestr gromen newydd i ddrychiad blaen a cefn
Raising roof and construction of  new dormer window to the front and rear elevation.",,Bontnewydd,https://amg.gwynedd.llyw.cymru/planning/index.html?fa=getApplication&id=32409
